A
KEQU
KEY
KHC
KIM
KINS
KLAC
KMB
KO
KR
KRG
KSS
KSU
KW
KWR
LAD
LAMR
LANC
LARK
LAZ
LBAI
LEA
LECO
LEG
LFUS
LII
LKFN
LLL
LM
LMAT
LMNR
LMT
LNC
LNN
LNT
LOAN
LOGN
LOW
LRCX
LSI
LSTR
LTC
LTXB
LUV
LVS
LXP
LYB
LYBC
LZB
M
MA
MAA
MAC
MAIN
MAN
MAR
MATW
MATX
MBFI
MBWM
MC
MCBC
MCD
MCHP
MCK
MCO
MCS
MCY
MDLZ
MDP
MDT
MDU
MEOH
MET
MFC
MFNC
MGA
MGEE
MGRC
MINI
MKC
MKSI
MKTX
MLGF
MLHR
MLR
MMC
MMM
MMP
MNAT
MNRO
MO
MOFG
MORN
MPB
MPC
MPLX
MPW
MRK
MS
MSA
MSCI
MSEX
MSFT
MSI
MSM
MTN
MTRN
MXIM
MYBF
NASB
NATI
NBTB
NC
NDAQ
NDSN
NEE
NEP
NEU
NFBK
NFG
NGHC
NHC
NHI
NHTC
NI
NIDB
NJR
NKE
NKSH
NLSN
NNN
NOC
NP
NRIM
NRZ
NSP
NTAP
NTRS
NUE
NUS
NVDA
NWBI
NWE
NWFL
NWN
NXST
NYLD
O
OC
ODC
OGE
OGS
OHI
OKE
OLBK
OLP
OMC
OMI
OPOF
ORCL
ORI
ORM
OSK
OTEX
OTTR
OVLY
OXM
OXY
OZK
PAG
PAYX
PB
PBCT
PBFX
PCAR
PDCO
PEB
PEBK
PEG
PEGI
PEP
PETS
PF
PFBC
PFE
PFG
PFS
PG
PH
PII
PKBK
PKG
PLCE
PLD
PLOW
PM
PNBI
PNC
PNM
PNR
PNW
POL
POOL
POR
POWI
PPBN
PPG
PPL
PPLL
PRGO
PRI
PRIM
PROV
PRU
PSA
PSBQ
PSX
PSXP
PTBS
PX
PZZA
QCOM
QNBC
QNTO
QTS
R
RBA
RBC
RBCAA
RCL
RE
RECN
REG
REXR
RF
RGA
RGCO
RGLD
RHI
RHP
RJF
RLI
RMAX
RMD
RNR
ROIC
ROK
ROL
ROP
ROST
RPM
RPT
RS
RSG
RTN
RUTH
SAFM
SASR
SBFG
SBGI
SBRA
SBSI
SBUX
SCI
SCL
SCS
SCVL
SEIC
SEP
SFBC
SFBS
SFNC
SGB
SGC
SGU
SHEN
SHPG
SHW
SIG
SIR
SIX
SJI
SJM
SJW
SKT
SLG
SLGN
SMBC
SMG
SMP
SNA
SNV
SNX
SO
SOHO
SOMC
SON
SPB
SPG
SPGI
SPTN
SR
SRC
SRCE
SRE
SRLP
SSB
SSD
STAG
STAY
STBA
STBI
STE
STI
STLD
STRT
STT
SUN
SWK
SWKS
SWM
SWX
SXI
SXT
SYBT
SYK
SYY
T
TBNK
TCBK
TCO
TDS
TEL
TEX
TFSL
TGT
THFF
THG
THO
THVB
TIF
TILE
TJX
TKR
TLP
TMK
TMP
TNC
TOWN
TPL
TR
TRCB
TRI
TRN
TRNO
TROW
TRUX
TRV
TSBK
TSCO
TSN
TTC
TTEK
TXN
TXRH
TYBT
TYCB
TYPE
UBA
UBCP
UBOH
UBSH
UBSI
UCBI
UCFC
UDR
UFCS
UFPI
UFS
UGI
UHT
UMBF
UMPQ
UNB
UNH
UNM
UNP
UNTY
UPS
USB
USPH
UTMD
UTX
UVV
V
VAC
VFC
VGR
VLO
VLP
VMC
VSEC
VTR
VVC
VZ
WAB
WABC
WAFD
WASH
WBA
WBS
WCN
WDFC
WDFN
WEBK
WEC
WELL
WEN
WES
WEYS
WFC
WGP
WHG
WHR
WINA
WLK
WLKP
WLTW
WM
WMPN
WMS
WMT
WOR
WPC
WPP
WRB
WRI
WRK
WSBC
WSFS
WSM
WSO
WST
WTBA
WTBFA
WTFC
WTR
WTS
WY
WYN
XEL
XL
XLNX
XOM
XRAY
XYL
YORW
ZBH
ZION
ZTS
